optim,name_db,type_prob,score_type,run_total,time_limit,elapsed_time,num_rows,num_cols,num_classes,train_val_size,test_size,NFS,FINAL_SCORE_VAL,FINAL_SCORE_TST,name_file,model
BO,clean2,binary,logloss,1,120.0,1.8324341217676798,6598,168,2,3299,3299,168,1.2097235594299453e-05,9e-06,clean2.csv,"LogisticRegression(C=999.999999999999, max_iter=5000)"
BO,clean2,binary,logloss,2,120.0,1.829121990998586,6598,168,2,3299,3299,168,1.1449884321851647e-05,9e-06,clean2.csv,"LogisticRegression(C=999.5603117397275, max_iter=5000)"
BO,clean2,binary,logloss,3,120.0,1.8637397209803264,6598,168,2,3299,3299,168,1.1222299730571314e-05,9e-06,clean2.csv,"LogisticRegression(C=999.3684496754653, max_iter=5000)"
BO,clean2,binary,logloss,4,120.0,1.8384132822354635,6598,168,2,3299,3299,168,1.0984100772487872e-05,9e-06,clean2.csv,"LogisticRegression(C=999.3208908584359, max_iter=5000)"
BO,churn,binary,logloss,0,120.0,1.9300933639208475,5000,33,2,2500,2500,33,0.3116772584692518,0.301954,churn.csv,"LogisticRegression(C=1.0370340206046653, max_iter=5000)"
BO,churn,binary,logloss,1,120.0,1.9918219606081644,5000,33,2,2500,2500,33,0.313546234139381,0.30164,churn.csv,"LogisticRegression(C=1.577941867326959, max_iter=5000)"
BO,churn,binary,logloss,2,120.0,1.9328169107437134,5000,33,2,2500,2500,33,0.3134392574965489,0.30174,churn.csv,"LogisticRegression(C=1.3289821436583018, max_iter=5000)"
BO,churn,binary,logloss,3,120.0,2.1308202942212424,5000,33,2,2500,2500,33,0.31391591491233606,0.301658,churn.csv,"LogisticRegression(C=1.5384003506902935, max_iter=5000)"
BO,churn,binary,logloss,4,120.0,1.9152962168057759,5000,33,2,2500,2500,33,0.315101366451814,0.302178,churn.csv,"LogisticRegression(C=0.867630920349429, max_iter=5000)"
BO,dis,binary,logloss,0,120.0,1.7398280421892802,3772,54,2,1886,1886,54,0.08174231532961732,0.068098,dis.csv,"LogisticRegression(C=1.2189932737401254, max_iter=5000)"
BO,dis,binary,logloss,1,120.0,1.5185784618059794,3772,54,2,1886,1886,54,0.08418537906750792,0.069449,dis.csv,"LogisticRegression(C=0.10519759029413718, max_iter=5000)"
BO,dis,binary,logloss,2,120.0,1.4100677371025085,3772,54,2,1886,1886,54,0.08344075001656058,0.069289,dis.csv,"LogisticRegression(C=0.14128796623718512, max_iter=5000)"
BO,dis,binary,logloss,3,120.0,1.5393335660298666,3772,54,2,1886,1886,54,0.08205644790655403,0.068753,dis.csv,"LogisticRegression(C=0.37585929121537487, max_iter=5000)"
BO,dis,binary,logloss,4,120.0,1.5730932195981344,3772,54,2,1886,1886,54,0.08334561197171271,0.068837,dis.csv,"LogisticRegression(C=0.32491404026737036, max_iter=5000)"
BO,Satellite,binary,logloss,0,120.0,1.6125303188959756,5100,36,2,2550,2550,36,0.020400967243631937,0.02063,Satellite.csv,"LogisticRegression(C=0.9502906760190089, max_iter=5000)"
BO,Satellite,binary,logloss,1,120.0,1.597573741277059,5100,36,2,2550,2550,36,0.022887673268547525,0.020707,Satellite.csv,"LogisticRegression(C=0.903180015821181, max_iter=5000)"
BO,Satellite,binary,logloss,2,120.0,1.5826845486958823,5100,36,2,2550,2550,36,0.020387492701116266,0.020132,Satellite.csv,"LogisticRegression(C=1.3836168423086612, max_iter=5000)"
BO,Satellite,binary,logloss,3,120.0,1.61113783121109,5100,36,2,2550,2550,36,0.020159833272618298,0.02005,Satellite.csv,"LogisticRegression(C=1.4907890761384057, max_iter=5000)"
BO,Satellite,binary,logloss,4,120.0,1.714980940024058,5100,36,2,2550,2550,36,0.020497465691116816,0.020113,Satellite.csv,"LogisticRegression(C=1.4070395269278115, max_iter=5000)"
BO,Titanic,binary,logloss,0,120.0,1.4419058521588644,2201,3,2,1100,1101,3,0.5344853849765732,0.516059,Titanic.csv,"LogisticRegression(C=0.10584697999940877, max_iter=5000)"
BO,Titanic,binary,logloss,1,120.0,1.4159896810849508,2201,3,2,1100,1101,3,0.5345521450210131,0.516107,Titanic.csv,"LogisticRegression(C=0.09631687674284517, max_iter=5000)"
BO,Titanic,binary,logloss,2,120.0,1.4230080684026083,2201,3,2,1100,1101,3,0.5357443915528102,0.516167,Titanic.csv,"LogisticRegression(C=0.08695126655122332, max_iter=5000)"
BO,Titanic,binary,logloss,3,120.0,1.351409649848938,2201,3,2,1100,1101,3,0.5327634976077716,0.51584,Titanic.csv,"LogisticRegression(C=0.21317485461867827, max_iter=5000)"
BO,Titanic,binary,logloss,4,120.0,1.3304006059964497,2201,3,2,1100,1101,3,0.5328270003484669,0.515815,Titanic.csv,"LogisticRegression(C=0.24674225050555076, max_iter=5000)"
BO,jasmine,binary,logloss,0,120.0,1.8059110244115193,2984,280,2,1492,1492,280,0.45173144605726423,0.444386,jasmine.csv,"LogisticRegression(C=0.028620511895830404, max_iter=5000)"
BO,jasmine,binary,logloss,1,120.0,1.7591572602589924,2984,280,2,1492,1492,280,0.4494776254101095,0.444568,jasmine.csv,"LogisticRegression(C=0.030284361668686883, max_iter=5000)"
BO,jasmine,binary,logloss,2,120.0,1.8636722167332966,2984,280,2,1492,1492,280,0.44980771034417744,0.445348,jasmine.csv,"LogisticRegression(C=0.036299592933638394, max_iter=5000)"
BO,jasmine,binary,logloss,3,120.0,1.9492116689682006,2984,280,2,1492,1492,280,0.44989211814938007,0.444414,jasmine.csv,"LogisticRegression(C=0.028890560639560275, max_iter=5000)"
BO,jasmine,binary,logloss,4,120.0,1.8250877459843953,2984,280,2,1492,1492,280,0.4497830713141333,0.444914,jasmine.csv,"LogisticRegression(C=0.03308950213403495, max_iter=5000)"
